dN_deta,lambda_p_ratio,error
21.29,0.7063985374771481,0.0031250881532059777
16.51,0.6918499819689866,0.0018982202924589687
13.46,0.679289303661163,0.0017684166219811333
11.51,0.6679184549356224,0.0018719034821415986
10.08,0.6598857958600999,0.0018813514313527353
8.45,0.6478470609254958,0.0016541109399360963
6.72,0.6357947434292867,0.0016562850111900857
5.4,0.6195475113122171,0.001994207541347108
3.9,0.5872514402527412,0.001697684277935513
2.26,0.49772727272727274,0.0017960282696615436
