#: table_doi: 10.17182/hepdata.77284.v1/t51
#: name: Table 51
#: description: $(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-})$ double-ratio vs multiplicity for pp collisions at $\sqrt{s}=7$ TeV.
#: data_file: data51.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X, P P --> OMEGA- X, P P --> OMEGABAR+ X
#: keyword observables: RATIO/RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-})$ DOUBLE-RATIO
#: RE,,,P P --> $(\pi^{+}+\pi^{-})$ + X,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$(h/\pi) / (h/\pi)^{pp}_{INEL>0}$,stat +,stat -,"sys,uncorr +","sys,uncorr -"
17.47,16.95,17.99,1.547,0.04936,-0.04936,0.05694,-0.05694
12.48,12.11,12.85,1.312,0.05037,-0.05037,0.07691,-0.07691
8.99,8.72,9.26,1.05,0.03354,-0.03354,0.05635,-0.05635
6.06,5.87,6.25,0.9614,0.06085,-0.06085,0.0928,-0.0928
2.89,2.75,3.03,0.5943,0.06213,-0.06213,0.08514,-0.08514

