# G_eff vs. r pro kompletní model
# M = 1.989e+30 kg = 1.00e+00 M_sun
# rho = 1.408e+03 kg/m^3
# R_proj = 2.300e-02 m
# sigma_max = 0.2
# r[m], G_eff/G_N
9.160598e+00,9.048374e-01
9.953962e+00,9.048374e-01
1.081604e+01,9.048374e-01
1.175277e+01,9.048374e-01
1.277063e+01,9.048374e-01
1.387665e+01,9.048374e-01
1.507845e+01,9.048374e-01
1.638434e+01,9.048374e-01
1.780332e+01,9.048374e-01
1.934520e+01,9.048374e-01
2.102061e+01,9.048374e-01
2.284112e+01,9.048374e-01
2.481930e+01,9.048374e-01
2.696881e+01,9.048374e-01
2.930447e+01,9.048374e-01
3.184242e+01,9.048374e-01
3.460016e+01,9.048374e-01
3.759675e+01,9.048374e-01
4.085286e+01,9.048374e-01
4.439097e+01,9.048374e-01
4.823549e+01,9.048374e-01
5.241298e+01,9.048374e-01
5.695227e+01,9.048374e-01
6.188468e+01,9.048374e-01
6.724427e+01,9.048374e-01
7.306804e+01,9.048374e-01
7.939618e+01,9.048374e-01
8.627237e+01,9.048374e-01
9.374409e+01,9.048374e-01
1.018629e+02,9.048374e-01
1.106848e+02,9.048374e-01
1.202708e+02,9.048374e-01
1.306870e+02,9.048374e-01
1.420053e+02,9.048374e-01
1.543038e+02,9.048374e-01
1.676675e+02,9.048374e-01
1.821885e+02,9.048374e-01
1.979672e+02,9.048374e-01
2.151123e+02,9.048374e-01
2.337424e+02,9.048374e-01
2.539859e+02,9.048374e-01
2.759826e+02,9.048374e-01
2.998844e+02,9.048374e-01
3.258562e+02,9.048374e-01
3.540774e+02,9.048374e-01
3.847427e+02,9.048374e-01
4.180637e+02,9.048374e-01
4.542706e+02,9.048374e-01
4.936132e+02,9.048374e-01
5.363631e+02,9.048374e-01
5.828155e+02,9.048374e-01
6.332908e+02,9.048374e-01
6.881377e+02,9.048374e-01
7.477346e+02,9.048374e-01
8.124930e+02,9.048374e-01
8.828599e+02,9.048374e-01
9.593209e+02,9.048374e-01
