tracer,z,alpha_iso,alpha_parallel,alpha_perp,alpha_AP,D_V_ratio,r_s_ratio,H_ratio,D_A_ratio
BGS,0.25,1.0111716148074321,1.0111716148074328,1.0111716148074317,1.000000000000001,1.0540925533894592,1.042446739953436,0.9486832980505138,1.0540925533894587
LRG1,0.51,1.0111716148074321,1.0111716148074326,1.0111716148074321,1.0000000000000004,1.0540925533894596,1.042446739953436,0.9486832980505139,1.0540925533894594
LRG2,0.706,1.0111716148074321,1.0111716148074328,1.0111716148074317,1.000000000000001,1.0540925533894592,1.042446739953436,0.9486832980505138,1.0540925533894587
LRG3+ELG1,0.93,1.0111716148074332,1.0111716148074326,1.011171614807434,0.9999999999999987,1.0540925533894605,1.042446739953436,0.9486832980505138,1.054092553389461
ELG2,1.317,1.011171614807433,1.0111716148074328,1.011171614807433,0.9999999999999998,1.05409255338946,1.042446739953436,0.9486832980505139,1.0540925533894603
QSO,1.49,1.0111716148074326,1.0111716148074326,1.0111716148074328,0.9999999999999998,1.0540925533894598,1.042446739953436,0.9486832980505138,1.05409255338946
