tracer,z,f_LCDM,f_QCT,f_ratio,D_LCDM,D_QCT,D_ratio,fsig8_LCDM,fsig8_QCT,fsig8_ratio
BGS,0.25,0.6625504968839014,0.7020783870658631,1.0596601924953173,0.8755416381941434,0.8755416381941427,0.9999999999999991,0.4704534339641687,0.4985207763945536,1.0596601924953164
LRG1,0.51,0.763828976733876,0.8093991605193201,1.0596601924953173,0.7648347472619462,0.7648347472619492,1.000000000000004,0.47378858626337167,0.5020549045219306,1.0596601924953213
LRG2,0.706,0.8187564288246618,0.8676035949751196,1.0596601924953173,0.6942318371252209,0.6942318371252206,0.9999999999999997,0.46097789836997544,0.48847992852281474,1.0596601924953168
LRG3+ELG1,0.93,0.8645112628560163,0.916088171212376,1.059660192495317,0.6255559765629074,0.6255559765629095,1.0000000000000033,0.43858895188856295,0.4647552531845556,1.0596601924953206
ELG2,1.317,0.9149065537746677,0.9694900548880916,1.059660192495317,0.531312631046934,0.5313126310469346,1.000000000000001,0.39422824208921065,0.41774797489934395,1.0596601924953184
QSO,1.49,0.9297575591044688,0.9852270740546176,1.0596601924953173,0.4970784839864662,0.49707848398646604,0.9999999999999997,0.37481376962118595,0.39717523126668125,1.0596601924953168
