z, E_new(eV), E_conformal(eV), E_logarithmic(eV), Ratio_conf, Ratio_log
6.755528315331646438e-02,3.157431484977568800e+16,1.103025521668188902e-01,3.157431484977568800e+16,3.493426625141875300e-18,1.000000000000000000e+00
7.340598369757211916e-02,3.421415279653257200e+16,1.112105575044480266e-01,3.421415279653257200e+16,3.250425581653409886e-18,1.000000000000000000e+00
7.976339067929276438e-02,3.706635432952016000e+16,1.122000106078337167e-01,3.706635432952016000e+16,3.027004210081595939e-18,1.000000000000000000e+00
8.667138797389233040e-02,4.014659845629993600e+16,1.132784631674171316e-01,4.014659845629993600e+16,2.821620449132748609e-18,1.000000000000000000e+00
9.417766006869524031e-02,4.347149042165528000e+16,1.144542082010806816e-01,4.347149042165528000e+16,2.632856777877241212e-18,1.000000000000000000e+00
1.023340212191642257e-01,4.705857860011340000e+16,1.157363593259343182e-01,4.705857860011340000e+16,2.459410436286646026e-18,1.000000000000000000e+00
1.111967731120698938e-01,5.092636489920205600e+16,1.171349394336987787e-01,5.092636489920205600e+16,2.300084438886273573e-18,1.000000000000000000e+00
1.208270935044776506e-01,5.509430744051629600e+16,1.186609799960781919e-01,5.509430744051629600e+16,2.153779319654629676e-18,1.000000000000000000e+00
1.312914585212465457e-01,5.958281420430721600e+16,1.203266323959100853e-01,5.958281420430721600e+16,2.019485551375848421e-18,1.000000000000000000e+00
1.426621015260737535e-01,6.441322626055722400e+16,1.221452928728203879e-01,6.441322626055722400e+16,1.896276587338317953e-18,1.000000000000000000e+00
1.550175117335770292e-01,6.960778917239673600e+16,1.241317428917253357e-01,6.960778917239673600e+16,1.783302477604766519e-18,1.000000000000000000e+00
1.684429760042316093e-01,7.518961115401062400e+16,1.263023069923157604e-01,7.518961115401062400e+16,1.679784016087158224e-18,1.000000000000000000e+00
1.830311675620613088e-01,8.118260660320728000e+16,1.286750304615613405e-01,8.118260660320728000e+16,1.585007378372078290e-18,1.000000000000000000e+00
1.988827856988809872e-01,8.761142371712369600e+16,1.312698794936887348e-01,8.761142371712369600e+16,1.498319213685280682e-18,1.000000000000000000e+00
2.161072508808377646e-01,9.450135504640270400e+16,1.341089668679406044e-01,9.450135504640270400e+16,1.419122157582708701e-18,1.000000000000000000e+00
2.348234600554276463e-01,1.018782300560750400e+17,1.372168065892422073e-01,1.018782300560750400e+17,1.346870734932442169e-18,1.000000000000000000e+00
2.551606073727185064e-01,1.097682890462046240e+17,1.406206014068686061e-01,1.097682890462046240e+17,1.281067625529604039e-18,1.000000000000000000e+00
2.772590759860483756e-01,1.181980381456514400e+17,1.443505676582697850e-01,1.181980381456514400e+17,1.221260267284567547e-18,1.000000000000000000e+00
3.012714070881165607e-01,1.271940855283427200e+17,1.484403024871711607e-01,1.271940855283427200e+17,1.167037774363291028e-18,1.000000000000000000e+00
3.273633528715245711e-01,1.367829595093802240e+17,1.529271991657085994e-01,1.367829595093802240e+17,1.118028149955486550e-18,1.000000000000000000e+00
3.557150206821386162e-01,1.469909097493785600e+17,1.578529170195843989e-01,1.469909097493785600e+17,1.073895775519218949e-18,1.000000000000000000e+00
3.865221162631263807e-01,1.578436934153870720e+17,1.632639133242418383e-01,1.578436934153870720e+17,1.034339160416062606e-18,1.000000000000000000e+00
4.199972946715306299e-01,1.693663487955725120e+17,1.692120455215349595e-01,1.693663487955725120e+17,9.990889378254011286e-19,1.000000000000000000e+00
4.563716281924761198e-01,1.815829595169098880e+17,1.757552532147041990e-01,1.815829595169098880e+17,9.679060947254636108e-19,1.000000000000000000e+00
4.958962013837216465e-01,1.945164131399172480e+17,1.829583306510324803e-01,1.945164131399172480e+17,9.405804255676308640e-19,1.000000000000000000e+00
5.388438442608223244e-01,2.081881584677900160e+17,1.908938018149730631e-01,2.081881584677900160e+17,9.169292010645616923e-19,1.000000000000000000e+00
5.855110155867241373e-01,2.226179663731897600e+17,1.996429118510502365e-01,2.226179663731897600e+17,8.967960452768449353e-19,1.000000000000000000e+00
6.362198492657489268e-01,2.378236992790822080e+17,2.092967503396448992e-01,2.378236992790822080e+17,8.800500159323423139e-19,1.000000000000000000e+00
6.913203779678130934e-01,2.538210945984367680e+17,2.199575239875032340e-01,2.538210945984367680e+17,8.665848846625291433e-19,1.000000000000000000e+00
7.511929493320967932e-01,2.706235674156260800e+17,2.317399985999165080e-01,2.706235674156260800e+17,8.563186156067780910e-19,1.000000000000000000e+00
8.162508514287232231e-01,2.882420374633990400e+17,2.447731328088725844e-01,2.882420374633990400e+17,8.491930426350593298e-19,1.000000000000000000e+00
8.869431656014713505e-01,3.066847850080953600e+17,2.592019289818739969e-01,3.066847850080953600e+17,8.451737472891979877e-19,1.000000000000000000e+00
9.637578663841088744e-01,3.259573396099934720e+17,2.751895300759443219e-01,3.259573396099934720e+17,8.442501414608653523e-19,1.000000000000000000e+00
1.047225189888435493e+00,3.460624048963557120e+17,2.929195949832685830e-01,3.460624048963557120e+17,8.464357608304687323e-19,1.000000000000000000e+00
1.137921293915315157e+00,3.669998215055866880e+17,3.125989891986776237e-01,3.669998215055866880e+17,8.517687772061193511e-19,1.000000000000000000e+00
1.236472235053714952e+00,3.887665692764371840e+17,3.344608324924842058e-01,3.887665692764371840e+17,8.603127401488623587e-19,1.000000000000000000e+00
1.343558290220826290e+00,4.113568086186065280e+17,3.587679507716117766e-01,4.113568086186065280e+17,8.721575606744045373e-19,1.000000000000000000e+00
1.459918652473978673e+00,4.347619598666931200e+17,3.858167855442608540e-01,4.347619598666931200e+17,8.874207524102617215e-19,1.000000000000000000e+00
1.586356533508591182e+00,4.589708183441884160e+17,4.159418214665365210e-01,4.589708183441884160e+17,9.062489483909107464e-19,1.000000000000000000e+00
1.723744708063619901e+00,4.839697018996798720e+17,4.495206004543852996e-01,4.839697018996798720e+17,9.288197147257880367e-19,1.000000000000000000e+00
1.873031538506438443e+00,5.097426268670615680e+17,4.869793999162079223e-01,5.097426268670615680e+17,9.553436857130054720e-19,1.000000000000000000e+00
2.035247521183577657e+00,5.362715077776972160e+17,5.287996629423226125e-01,5.362715077776972160e+17,9.860670486367291789e-19,1.000000000000000000e+00
2.211512399725488631e+00,5.635363757347352960e+17,5.755252799374005468e-01,5.635363757347352960e+17,1.021274410524137299e-18,1.000000000000000000e+00
2.403042894406969499e+00,5.915156101542821120e+17,6.277708343823682480e-01,5.915156101542821120e+17,1.061292083599670154e-18,1.000000000000000000e+00
2.611161100917459343e+00,6.201861785783326720e+17,6.862309403683788389e-01,6.201861785783326720e+17,1.106491831116652922e-18,1.000000000000000000e+00
2.837303616516214433e+00,6.495238794524926720e+17,7.516908164895650390e-01,6.495238794524926720e+17,1.157295120732424154e-18,1.000000000000000000e+00
3.083031456568277040e+00,6.795035831110648320e+17,8.250382598764423037e-01,6.795035831110648320e+17,1.214177938693208880e-18,1.000000000000000000e+00
3.350040829913136342e+00,7.100994666905963520e+17,9.072772058960230090e-01,7.100994666905963520e+17,1.277676224887717977e-18,1.000000000000000000e+00
3.640174847446141282e+00,7.412852392648762880e+17,9.995430836751950654e-01,7.412852392648762880e+17,1.348391996401317797e-18,1.000000000000000000e+00
